text,label,pred,prob
"они что , реально представляют очереди на согласование ? бля , с какой планеты наши чиновники ?",0,1,0.8336627
"в маках есть кнопки . только агрессивному быдлу обычно плевать на них , пока его мордой в пол не уложат .",1,0,0.357104
сменить работу не вариант ? сутками работать оно совсем не здорово .,0,1,0.80124223
инфографику на бирже фриланса заказывали по дешевке ? чего - то она у вас какая - то не информативная,0,1,0.62214893
"да уж . . . кажется , это самая ужасная подборка жести из интернета .",0,1,0.560602
хуежка . сколько можно nba потнашим правилам оценивать,0,1,0.72776735
как золушка прям . надо было ей гречи насыпать . занял бы надолго .,1,0,0.35414267
какая - то странная нативная реклама mybox,0,1,0.5676113
"удивительно: этого дегенерата всё ещё смотрят . как вам там под парашей , опущенцы ? нормас ?",1,0,0.39895085
"у нас многие здоровые весьма удачно приезжают и в остановку , и на тротуар , и под фуру . а сколько из них потенциально опасных , готовых махать кулаками и битами .",0,1,0.54163927
ну это долгая история . я бы это назвал к чему привела эволюция подписи . ),0,1,0.7534806
"5п - 42 филин , переносная модификация )",0,1,0.5192045
"а мамка её двощи читает . мамка джамили , когда уже вы вашу дочь воспитаете ? и да , она уже так остопиздела на канале , потому что ваша дочь уже там из всех щелей лезет , лучше работу ей найдите с которой она не вылетит , и пусть снимается в умеренном количестве . но лично у меня к вашей доце после того что она выкинула и как она себя ведёт - море негатива и бомбежа .",1,0,0.12713392
"говори адрес , петушара , будешь у меня на камеру говорить , что кузьма - не свинья и на коленях прощения просить",1,0,0.47921172
"так ! 12 числа , сего месяца , приобрёл монументальную монографию биология добра и зла , 999 сносок , что для биологии - моё почтение ! буду оприходовать . жадные дети могут подумать , что это реклама . да , это реклама .",0,1,0.6843868
женщина красивая . актриса никакая . смотрел помню трансформеров - плевался .,0,1,0.58200765
"если она программист , то ебать её нужно за такое наименование переменной , ну или за использование оператора присваивания для сравнения",0,1,0.5175204
", я тупой и не понял шутки или это спам ?",1,0,0.19113833
"да наказали , только информация по приговору закрыта , дело в стадии обжалования находится",0,1,0.8702762
"как в рандомном телефоне узнать что из кучи элементов на плате явлчется драйвером подсветки , если нету никаких схем ?",0,1,0.6453551
"а что еще отвечать на подобные долбоебские вопросы ? ну то есть , павук нормально ответил , но стасян зачем - то начел спрашивать то же самое , только другими словами",1,0,0.31257984
"конкретнее давайте , континент какой ? ?",0,1,0.5911282
"то есть получается , что россия - сырьевой придаток запада ?",1,0,0.036707863
"шапочку из фольги надень я без неё в тред и не хожу . постер выглядел искренним ) таким же , как цыганка - нищенка с золотыми зубами или ещё искренней ? нынешний вайп - ещё тупее прошлого .",1,0,0.31910595
"без косметики лучше . разрисованные по современному стограммному стандарту еблища ужасны - не представляю , откуда взялась такая мода .",0,1,0.5411688
"даже одинокую половину кореи всем капиталистическим миром не удалось загнобить . так не удалось , что они траву жрали , как помощь из совка перестала поступать в 90 - х .",0,1,0.57619107
по идее это позор но поцреоты будут надрывно гордиться .,1,0,0.0849603
некоторое время назад работал на заводе светотехники . полностью подтверждаю .,0,1,0.55637264
"я сразу поменял от спорта , удобнее стало",0,1,0.66077006
"вот и я о том же , но людей радует когда сажают кого - то побогаче , тогда легче закрыть глаза на реальные проблемы .",0,1,0.6015151
как раз потому и удалили потому что это полное позорище .,1,0,0.24491216
"как бы сказать - то . на нынешнем дваче адекватней ребята . при своей свободе . или у них за пятнадцать лет такая токсичная атмосфера настоялась , что со стороны дикой кажется . а те , кто прошли этот отбор , кайфуют мб .",1,0,0.33585396
"у них от веганства , совсем мозги высохли",1,0,0.43216932
пёстрый скакунчик ! :3,0,1,0.72959954
"просвещайся , крестьянин",1,0,0.0653436
"задание идёт с самого dmg mori , на конкурсе world skills такое оформление . не у нас составляли",0,1,0.57191527
фотошоп - коричневого пятнышка на трусах нет,1,0,0.26524687
а не хочет ли он налог заплатить за использование природных ресурсов ?,0,1,0.7568563
"это норма для мужиков . большие соски - признак смещения гормонального баланса . потенциальное гино уже . и по совершенно случайному совпадению владельцы больших сосков так же являются гордыми обладателями сисек . в общем , гоните большесосок , насмехайтесь над ними .",0,1,0.6990469
"вроде он . еще рычаг ручника есть справа . суровые стальные игрушки , пережившие несколько поколений . )",0,1,0.5004515
"ну , если ты , необходимость деловой рабочий силы , с возможностью круглосуточной занятости называешь оптимизацией расходов , то тогда , по такой логике , можно и в рабовладельческий строй вернуться .",0,1,0.56821746
крымотред нарушает правила раздела т . к в нем нет обсуждения политики . свободное общение это в b . это тоже самое если я на доске о политике создам тред о том как плохо без тяночки . так что уебывайте в б или нвр со своим чатиком престарелых гомосеков !,1,0,0.42306063
"жертвовать здоровьем ради извращенца , ну нафиг . .",1,0,0.4975321
"колян никак не созреет , а созреет , так мамка заругает",1,0,0.1092044
у тебя еще есть время,0,1,0.64055264
обратит вниманиа на шкалу - all ages,0,1,0.8099455
"поверь , бизона стоит бояться . эта зверушка тебя запросто на отбивную пустит , не говоря уж об этих шавках , которых и человек голыми руками завалить может троих .",1,0,0.48223412
"внимание ! не следуйте совету выше чистить экраны спиртом или спиртосодержащим средством ! купите специальный спрей для экранов или салфетки , коих множество !",0,1,0.6487708
это про 10000 долларов от еспч ?,0,1,0.9764678
"а меня одного бесит , что эта гифка грузилась дофига еще и с подвисаниями ? надо что - то делать с гифками на сайте , уже которая бесит , а написать лень . но тут просто реально долго было",1,0,0.217304
"я тоже энту песню вспомнил , когда увидел фото )",0,1,0.55623215
"ну и дебил , теперь на него дело заведут и еще деньгами ущерб возмещать будет",1,0,0.44334173
зафаршировать хуя . . . овощами перед этим надобно .,0,1,0.76833546
"мать серова была еврейкой по фамилии бергман и у отца в крови были евреи , его дед был каким - то еврейским путешественником или исследователем , не помню .",1,0,0.3559376
"вы растекаетесь по всей борде лишим вас загончика , чтобы это на самом деле стало правдой а ты хитер .",0,1,0.97407633
"беда в том , что полиции почему - то похуй на это быдлана он сам по себе довольно таки темный в плане дел с законом . не знаю , правда правое дело делает или там огромная крыша , но полиция так и не будет его трогать .",1,0,0.11031293
"снег сойдет полностью хозяин найдется , он под деревом",0,1,0.959428
"вы можете посмотреть , как меня активно минусуют за коменты , где я говорю , как обычный человек может себя отстоять . к сожалению , этот сайт и в тюрьмах бакланье читает , делайте выводы - каждый минус - это зассавший пацан ровный , который бздит под ответку попасть . на ганзе почитайте , там много интересного",1,0,0.29470727
главное сохраняет морду лица,1,0,0.36087075
не советую грибы собирать в пластиковую тару . преют грибочки в ней . лучше мешочек из под сахара например . себе плпнирую сделать типа рюкзака из бельевой корзины .,0,1,0.51783746
преступления у ссср ? перед кем ? перед алоизовичем ? не было ! твердо и четко ! не - бы - ло ! !,1,0,0.3709523
на первой фотке похоже собачка не успела толком раскуриться .,0,1,0.59482133
"моя мать пенсионерка уже 10 лет . так что мимо , петушок сисянский .",1,0,0.4668072
фуры с тварями за рулем никак не передохнут ! ! ! всякий неуч и дебил идет работать шофером ( гордо ) ! !,1,0,0.48132083
