text,label,pred,prob
"5000ч исправительных работ каждому
",0,1,0.94667166
"В маках есть кнопки. Только агрессивному быдлу обычно плевать на них, пока его мордой в пол не уложат.
",1,0,0.26787153
"Автор, не в обиду, я прожила 4 года в Волгограде. У вас концентрация быдла огромная, а чиновники одни из самых охуевших в РФ.
",1,0,0.36322257
"2 мрази ячейка блять общества.
",1,0,0.42236578
"Этот расеянин уплатит за всё. Проблема не выбить дерьма из макак, а получить прибыль. С абхазии никаких профитов, с сирии тоже, с драмнбаса тоже. Говна выбили и путин хуй забил посадив на гум иглу.",1,0,0.45132113
"Инфографику на бирже фриланса заказывали по дешевке? Чего-то она у вас какая-то не информативная
",0,1,0.5125368
"пидорашка это не фамилия, а состояние души, распространено только в россиюшке
",1,0,0.38115227
"как Золушка прям. Надо было ей гречи насыпать. Занял бы надолго.
",1,0,0.13622259
какие ваши доказательства !?,0,1,0.59630424
"Удивительно: этого дегенерата всё ещё смотрят. Как вам там под парашей, опущенцы? Нормас?
",1,0,0.44330287
"И какой придурок засунул туда цыплят? Во-первых, они недостаточно выросли и это просто нецелесообразно, слишком мало мяса. Во-вторых, в этом случае в готовом продукте будет кровь, что для мяса является браком. В третьих полученный фарш будет слишком низкого качества из-за крови, костей, шкуры и прочего. Если нужно реализовать их, проще подать из тушки как цыплят-корнишонов. Вывод один: оператор ебаный садист, которому просто по фану измельчить заживо кучку цыплят
",1,0,0.2602505
"А мамка её двощи читает. Мамка Джамили, когда уже вы вашу дочь воспитаете? И да, она уже так остопиздела на канале, потому что ваша дочь уже там из всех щелей лезет, лучше работу ей найдите с которой она не вылетит, и пусть снимается в умеренном количестве. Но лично у меня к вашей доце после того что она выкинула и как она себя ведёт - море негатива и бомбежа.
",1,0,0.22378474
"Шизики, вот вам ещё для подогрева пердаков.
",1,0,0.34184784
"Говори адрес, петушара, будешь у меня на камеру говорить, что Кузьма - не свинья и на коленях прощения просить
",1,0,0.32200846
"Там же аватара нарисованной бабы и мусор из сообществ ясно говорят, что он обычный любитель мультфильмов с идиотскими сюжетами, нарисованных узкоглазыми любителями геноцида и Курильских островов по схеме, придуманной Николаем Носовым. Ну а любители этих мультфильмов - очень специфически мыслящая аудитория.
",1,0,0.40449473
"Женщина красивая. Актриса никакая. Смотрел помню трансформеров - плевался.
",0,1,0.5379235
"Почитал отзывы на сей агрегат,у многих те или иные проблемы с дисплеем.Сдавать в ремонт,а лучше купить другой девайс
",0,1,0.5291214
"Если она программист, то ебать её нужно за такое наименование переменной, ну или за использование оператора присваивания для сравнения
",0,1,0.61986655
"пьяные офицеры вымогают на алкашку и наркоту по почкам бутылками изнасиловать и утопить анонимно Одному мне кажется, что киберсвиносотня перетолстила?
",1,0,0.34157383
"Вроде как самого Да Винчи в ересях не обвиняли, только его кота. upd.: О, только щас обратил внимание на ник автора.
",1,0,0.13580759
"Блин, классная дама. Мне высокие оч. нравятся!
",0,1,0.81759405
", я тупой и не понял шутки или это спам?
",1,0,0.3246186
"Лахтодырка отрицает свое существование.
",1,0,0.40673146
"Да наказали, только информация по приговору закрыта, дело в стадии обжалования находится
",0,1,0.5408046
"А что еще отвечать на подобные долбоебские вопросы? Ну то есть, Павук нормально ответил, но Стасян зачем-то начел спрашивать то же самое, только другими словами
",1,0,0.4175911
"О, родная душенька...
",1,0,0.27506316
"То есть получается, что Россия-сырьевой придаток запада?
",1,0,0.17307132
"если она головой шмякнулась, то неудивительно
",1,0,0.3262518
"Шапочку из фольги надень Я без неё в тред и не хожу. Постер выглядел искренним) Таким же, как цыганка-нищенка с золотыми зубами или ещё искренней? Нынешний вайп -ещё тупее прошлого.
",1,0,0.2466728
"Например, может быть супер-сет какой-то с отдыхом, круговая тренировка иль просто с кем-то поговорить стал. Вариантов много
",0,1,0.5398953
"Надо было для собаки еще и отобрать мороженое у старшей девочки. Она и та к жирная.
",1,0,0.047279034
"Без косметики лучше. Разрисованные по современному стограммному стандарту еблища ужасны - не представляю, откуда взялась такая мода.
",0,1,0.7045774
По идее это позор но поцреоты будут надрывно гордиться.,1,0,0.17450862
"к нам в иред У тебя нет треда своего, сучка
",1,0,0.43750212
"При большой зп можно 60 .
",0,1,0.505755
"Есть Россия, та которая в сердце, в душе, остаток чистого. А есть рашка, раисся, пидоРашка. Состояние того, что сделали со страной чиновники
",1,0,0.30603006
"Как раз потому и удалили потому что это полное позорище.
",1,0,0.18348727
"Как бы сказать-то. На нынешнем дваче адекватней ребята. При своей свободе. Или у них за пятнадцать лет такая токсичная атмосфера настоялась, что со стороны дикой кажется. А те, кто прошли этот отбор, кайфуют мб.
",1,0,0.27790657
"У них от веганства, совсем мозги высохли",1,0,0.43660432
"Пёстрый скакунчик! :3
",0,1,0.8828798
"Просвещайся, крестьянин",1,0,0.40229547
"прошу прощенья, вы видели фото из коридора? О какой чрезмерной нагрузки вы говорите? На весь дом? Там проводка алюминиевая у который давным давно вышел срок годности.
",0,1,0.70271426
"Зачем эти продажные, жирнолысые хуемрази, когда есть такая фапабельная милфочка? Будет лучший президент за всю историю.
",1,0,0.410143
"Фотошоп- коричневого пятнышка на трусах нет
",1,0,0.12785628
"Хуясе, адекват, даром что заднеприводный.
",1,0,0.33263636
"Ну, если ты, необходимость деловой рабочий силы, с возможностью круглосуточной занятости называешь оптимизацией расходов, то тогда, по такой логике, можно и в рабовладельческий строй вернуться.",0,1,0.70070714
"Жертвовать здоровьем ради извращенца, ну нафиг..
",1,0,0.21267493
"Я очень надеюсь что у автора поста нет детей. Чтоб такие размножались. Да это ж пипец...
",1,0,0.25268245
"это современное турбированное говно ломается через 100 тыс км, а древнее говно может месить говно бесконечно.
",0,1,0.6241186
"Ебанутый что ли. Недоношенных что ли. А появятся на улицах они через пару месяцев, им еще ходить научиться надо.
",1,0,0.068964824
"у бабке на столе винтовочные патроны. трудно ей будет с пистолетом-то.
",1,0,0.27005044
"Не уходи, или сдохнешь
",1,0,0.27023107
"Обратит вниманиа на шкалу - ALL AGES
",0,1,0.7541181
"Предлагаю пидарнуть bioware-трежд в фаг, а anthem оставить как есть.
",1,0,0.1819798
"Внимание! Не следуйте совету выше чистить экраны спиртом или спиртосодержащим средством! Купите специальный спрей для экранов или салфетки, коих множество!
",0,1,0.5188213
"Он хочет денег, много денег, очень много денег. В смысле он дорого нам обходётся",0,1,0.524573
"Это про 10000 долларов от ЕСПЧ?
",0,1,0.71525353
